id,lat,lng,fast,overhead,sv,combined,has_sv,reason
M00043,33.081441,-105.714757,1,1,-1,1,False,
M00044,33.081488,-105.715291,1,1,-1,1,False,
M00045,33.153002,-105.763923,1,1,-1,1,False,
M00046,33.153400,-105.763672,2,2,-1,2,False,
M00047,33.162433,-105.803978,1,1,-1,1,False,
M00048,33.163078,-105.807357,3,4,3,5,True,"The marked line route runs through an area of dense mixed tree canopy with no obvious cleared right-of-way. Trees press directly into the corridor path from both sides with little visible clearance, indicating significant encroachment that could contact conductors."
M00049,33.161112,-105.770252,1,1,-1,1,False,
M00050,33.160969,-105.769743,1,1,-1,1,False,
M00051,33.155965,-105.782176,0,0,-1,0,False,
M00052,33.162826,-105.796786,1,1,-1,1,False,
M00053,33.162537,-105.796374,2,2,-1,2,False,
M00054,33.162247,-105.795963,1,1,-1,1,False,
M00055,33.158201,-105.793874,1,1,-1,1,False,
M00056,33.159003,-105.790493,2,2,-1,2,False,
M00057,33.158777,-105.790958,2,2,-1,2,False,
M00058,33.162172,-105.795856,1,1,-1,1,False,
M00059,33.161985,-105.795368,1,1,-1,1,False,
M00060,33.161798,-105.794879,1,1,-1,1,False,
M00061,33.161750,-105.794753,1,1,-1,1,False,
M00062,33.161571,-105.794260,1,1,-1,1,False,
M00063,33.164067,-105.798694,1,1,-1,1,False,
M00064,33.163784,-105.798277,1,1,-1,1,False,
M00065,33.165811,-105.800262,1,1,-1,1,False,
M00066,33.165927,-105.799743,1,1,-1,1,False,
M00067,33.166044,-105.799224,1,1,-1,1,False,
M00068,33.160702,-105.792500,1,1,-1,1,False,
M00069,33.160312,-105.792232,2,2,-1,2,False,
M00070,33.159922,-105.791965,2,2,-1,2,False,
M00071,33.161802,-105.800467,0,0,-1,0,False,
M00072,33.162248,-105.800399,1,1,-1,1,False,
M00073,33.164889,-105.800721,0,0,-1,0,False,
M00074,33.164484,-105.800955,1,1,-1,1,False,
M00075,33.164079,-105.801188,2,2,-1,2,False,
M00076,33.165811,-105.800262,1,1,-1,1,False,
M00077,33.166225,-105.800055,1,1,-1,1,False,
M00078,33.159195,-105.770281,1,1,-1,1,False,
M00079,33.159544,-105.770619,2,2,-1,2,False,
M00080,33.163694,-105.798145,1,1,-1,1,False,
M00081,33.163421,-105.797718,1,1,-1,1,False,
M00082,33.163148,-105.797291,1,1,-1,1,False,
M00083,33.162875,-105.796864,0,0,-1,0,False,
M00084,33.160249,-105.790219,1,1,-1,1,False,
M00085,33.160453,-105.768037,1,1,-1,1,False,
M00086,33.160016,-105.768161,1,1,-1,1,False,
M00087,33.160747,-105.767952,1,1,-1,1,False,
M00088,33.160638,-105.767431,1,1,-1,1,False,
M00089,33.160529,-105.766910,1,1,-1,1,False,
M00090,33.160420,-105.766389,1,1,-1,1,False,
M00091,33.158713,-105.791089,2,2,-1,2,False,
M00092,33.159096,-105.791371,2,2,-1,2,False,
M00093,33.159479,-105.791653,2,2,-1,2,False,
M00094,33.156313,-105.786926,1,1,-1,1,False,
M00095,33.156647,-105.786567,1,1,-1,1,False,
M00096,33.059892,-105.711535,4,5,0,5,True,"The cyan line marking the corridor passes directly through dense tall tree canopy on the left/center portion of the tile. Trees clearly overhang the route around the marker, with heavy canopy pressing in and over the line, indicating high contact risk."
M00097,33.059395,-105.711226,0,0,-1,0,False,
M00098,33.059794,-105.711474,0,0,-1,0,False,
M00099,33.058835,-105.710476,1,1,-1,1,False,
M00100,33.059134,-105.710877,1,1,-1,1,False,
M00101,33.058864,-105.709333,1,1,-1,1,False,
M00102,33.058850,-105.709869,1,1,-1,1,False,
M00103,33.058837,-105.710405,1,1,-1,1,False,
M00104,33.165523,-105.800422,1,1,-1,1,False,
M00105,33.161146,-105.795961,0,0,-1,0,False,
M00106,33.161594,-105.795915,1,1,-1,1,False,
M00107,33.162042,-105.795869,1,1,-1,1,False,
M00108,33.165788,-105.804040,1,1,-1,1,False,
M00109,33.165661,-105.803525,2,2,-1,2,False,
M00110,33.164458,-105.799262,1,1,-1,1,False,
M00111,33.164173,-105.798847,1,1,-1,1,False,
M00112,33.165584,-105.803215,2,2,-1,2,False,
M00113,33.119510,-105.729189,4,5,-1,5,False,"The cyan line indicating the power line route passes directly through dense tall tree canopy on the right side of the tile, with trees clearly overhanging the corridor. The marker endpoint sits among heavy vegetation, indicating significant canopy directly over the line route."
M00114,33.119629,-105.728671,2,2,-1,2,False,
M00115,33.158496,-105.789833,1,1,-1,1,False,
M00116,33.158800,-105.790229,1,1,-1,1,False,
M00117,33.164504,-105.795132,1,1,-1,1,False,
M00118,33.164079,-105.794956,1,1,-1,1,False,
M00119,33.156557,-105.790743,2,2,-1,2,False,
M00120,33.155912,-105.790921,2,2,-1,2,False,
M00121,33.155521,-105.790656,1,1,-1,1,False,
M00122,33.160849,-105.769313,1,1,-1,1,False,
M00123,33.160809,-105.768778,1,1,-1,1,False,
M00124,33.160769,-105.768243,1,1,-1,1,False,
M00125,33.159550,-105.796576,1,1,-1,1,False,
M00126,33.159668,-105.796058,1,1,-1,1,False,
M00127,33.162796,-105.801806,0,0,-1,0,False,
M00128,33.163064,-105.795241,1,1,-1,1,False,
M00129,33.162675,-105.795510,1,1,-1,1,False,
M00130,33.162285,-105.795778,1,1,-1,1,False,
M00131,33.165811,-105.800262,1,1,-1,1,False,
M00132,33.165428,-105.799979,2,2,-1,2,False,
M00133,33.165046,-105.799696,1,1,-1,1,False,
M00134,33.164664,-105.799413,1,1,-1,1,False,
M00135,33.163708,-105.794802,1,1,-1,1,False,
M00136,33.163318,-105.795068,1,1,-1,1,False,
M00137,33.166140,-105.798796,1,1,-1,1,False,
M00138,33.165967,-105.798300,1,1,-1,1,False,
M00139,33.160130,-105.790655,2,2,-1,2,False,
M00140,33.160249,-105.790219,1,1,-1,1,False,
M00141,33.160566,-105.789839,1,1,-1,1,False,
M00142,33.161112,-105.770252,1,1,-1,1,False,
M00143,33.161522,-105.770474,1,1,-1,1,False,
M00144,33.161720,-105.770582,1,1,-1,1,False,
M00145,33.162119,-105.770829,1,1,-1,1,False,
M00146,33.162464,-105.771043,1,1,-1,1,False,
M00147,33.162912,-105.771094,1,1,-1,1,False,
M00148,33.166317,-105.771473,4,2,-1,2,False,"The line route (cyan) crosses arid scrubland with scattered low shrubs/small trees. There is no dense tall canopy directly over the corridor, and no cleared right-of-way is evident. Vegetation is low and patchy, posing minimal contact risk to conductors."
M00149,33.166534,-105.771943,5,4,-1,4,False,"The line route (cyan) runs through what appears to be continuous scrubby/tree canopy with no visible cleared corridor or track. Vegetation presses directly into the route from both sides with little clearance, though the canopy appears lower/mixed rather than tall dense forest, so encroachment is high but not maximal."
M00150,33.166751,-105.772413,1,1,-1,1,False,
M00151,33.167361,-105.774763,1,1,-1,1,False,
M00152,33.167345,-105.775299,1,1,-1,1,False,
M00153,33.167332,-105.775745,1,1,-1,1,False,
M00154,33.167141,-105.776231,4,5,-1,5,False,"The marked line (cyan) crosses directly through dense tree canopy with no cleared right-of-way along its path. The trees press right up to and over the route, indicating heavy overhang risk near conductors."
M00155,33.166949,-105.776717,1,1,-1,1,False,
M00156,33.167401,-105.773824,5,3,-1,3,False,"The cyan line marks the feeder route with a junction near center. Terrain is scrubby/sparse vegetation with scattered shrubs and small trees, but no obvious cleared corridor. Moderate vegetation pressing near the route edges, though canopy is low and not densely overhanging."
M00157,33.167378,-105.774360,1,1,-1,1,False,
M00158,33.166940,-105.772822,4,1,-1,1,False,"The terrain appears to be low scrub or sparse vegetation with no visible cleared corridor. There are no tall trees overhanging the marked line route; the vegetation is low and patchy, leaving the route reasonably clear."
M00159,33.167157,-105.773293,5,1,-1,1,False,"The terrain appears to be sparse, low-growing scrub vegetation on arid/mountainous ground. There is no dense tall tree canopy overhanging the marked line route, and no cleared corridor pressing trees are visible. Vegetation looks low and well clear of the conductors."
M00160,33.167373,-105.773764,2,2,-1,2,False,
M00161,33.165238,-105.771352,4,2,-1,2,False,"The line route (cyan) crosses arid, sparsely vegetated terrain with scattered low shrubs and bushes. There is no tall tree canopy overhanging or pressing into the corridor; the vegetation appears low and the corridor looks reasonably clear, though some scattered shrubs are nearby."
M00162,33.165686,-105.771402,1,1,-1,1,False,
M00163,33.166134,-105.771452,5,3,-1,3,False,"The line route (cyan) runs through scrubby/patchy vegetation with scattered shrubs and small trees. No clearly cleared corridor is visible, and vegetation is moderately close along the route, but the canopy appears low/sparse rather than tall trees directly overhanging, indicating moderate encroachment."
M00164,33.164375,-105.771257,4,2,-1,2,False,"The terrain shows scattered low shrub/scrub vegetation typical of arid land, with no visible cleared corridor or road. The vegetation appears to be low brush rather than tall canopy trees, so contact risk with overhead conductors is low. Some bushes are near the line route but they are sparse and not tall."
M00165,33.164823,-105.771306,4,1,-1,1,False,"The line route (cyan) crosses arid scrubland with scattered low shrubs and small bushes. There is no tall tree canopy overhanging or pressing into the corridor; vegetation is low and sparse, posing minimal contact risk."
M00166,33.163187,-105.771124,2,2,-1,2,False,
M00167,33.163635,-105.771174,4,2,-1,2,False,The line route is marked but there is no obvious cleared corridor. Terrain is sparse arid scrub/brush with scattered low shrubs; vegetation appears low and lacks tall tree canopy that could overhang conductors. Reasonably clear with only minor low vegetation nearby.
M00168,33.164082,-105.771224,4,1,-1,1,False,"The terrain appears to be sparse, low scrub/shrub vegetation over arid ground with scattered dark patches, not tall forest canopy. No cleared corridor or road is visible, only the marked line route. The vegetation is low and well clear of any conductors, posing little contact risk."
M00169,33.152366,-105.760739,1,1,-1,1,False,
M00170,33.152381,-105.760723,1,1,-1,1,False,
M00171,33.152721,-105.760371,1,1,-1,1,False,
M00172,33.156970,-105.782577,1,1,-1,1,False,
M00173,33.157323,-105.782910,1,1,-1,1,False,
M00174,33.156257,-105.782294,1,1,-1,1,False,
M00175,33.156684,-105.782464,0,0,-1,0,False,
M00176,33.158131,-105.781565,2,2,-1,2,False,
M00177,33.158418,-105.781152,1,1,-1,1,False,
M00178,33.157467,-105.783045,1,1,-1,1,False,
M00179,33.157679,-105.782572,1,1,-1,1,False,
M00180,33.157892,-105.782098,1,1,-1,1,False,
M00181,33.158104,-105.781625,1,1,-1,1,False,
M00182,33.165441,-105.802712,1,1,-1,1,False,
M00183,33.165878,-105.802582,1,1,-1,1,False,
M00184,33.094503,-105.713612,3,4,4,5,True,"A single conductor is faintly visible in the upper right sky. Tall pine trees, clearly as tall or taller than the line height, populate the entire hillside within a span-width of the corridor. Nearest trees appear AT or ABOVE conductor height, within tens of feet of the line."
M00185,33.163064,-105.795241,1,1,-1,1,False,
M00186,33.163070,-105.794704,0,0,-1,0,False,
M00187,33.163077,-105.794167,1,1,-1,1,False,
M00188,33.163078,-105.794064,0,0,-1,0,False,
M00189,33.163084,-105.793527,1,1,-1,1,False,
M00190,33.058864,-105.709333,1,1,-1,1,False,
M00191,33.058650,-105.708861,2,2,-1,2,False,
M00192,33.163064,-105.795241,1,1,-1,1,False,
M00193,33.162709,-105.794912,1,1,-1,1,False,
M00194,33.163694,-105.798145,1,1,-1,1,False,
M00195,33.163989,-105.797919,2,2,-1,2,False,
M00196,33.153575,-105.763561,1,1,-1,1,False,
M00197,33.165341,-105.802300,1,1,-1,1,False,
M00198,33.165197,-105.801795,1,1,-1,1,False,
M00199,33.165051,-105.801287,1,1,-1,1,False,
M00200,33.164906,-105.800779,1,1,-1,1,False,
M00201,33.158496,-105.789833,1,1,-1,1,False,
M00202,33.158239,-105.789393,1,1,-1,1,False,
M00203,33.158087,-105.789133,1,1,-1,1,False,
M00204,33.157846,-105.788679,1,1,-1,1,False,
M00205,33.123979,-105.731725,1,1,-1,1,False,
M00206,33.124189,-105.731471,1,1,-1,1,False,
M00207,33.124507,-105.731092,1,1,-1,1,False,
M00208,33.124825,-105.730712,1,1,-1,1,False,
M00209,33.160747,-105.767952,1,1,-1,1,False,
M00210,33.079633,-105.713423,1,1,-1,1,False,
M00211,33.079772,-105.712912,1,1,-1,1,False,
M00212,33.079829,-105.712706,1,1,-1,1,False,
M00213,33.079973,-105.712198,1,1,-1,1,False,
M00214,33.162788,-105.800413,1,1,-1,1,False,
M00215,33.162297,-105.800391,1,1,-1,1,False,
M00216,33.162747,-105.800411,1,1,-1,1,False,
M00217,33.162788,-105.800413,1,1,-1,1,False,
M00218,33.162767,-105.799877,0,0,-1,0,False,
M00219,33.104643,-105.719172,1,1,-1,1,False,
M00220,33.104568,-105.719444,1,1,-1,1,False,
M00221,33.104428,-105.719954,1,1,-1,1,False,
M00222,33.163989,-105.797919,1,1,-1,1,False,
M00223,33.164085,-105.797394,1,1,-1,1,False,
M00224,33.161422,-105.793849,1,1,-1,1,False,
M00225,33.161248,-105.793354,1,1,-1,1,False,
M00226,33.161196,-105.793204,1,1,-1,1,False,
M00227,33.161022,-105.792709,1,1,-1,1,False,
M00228,33.166591,-105.799872,1,1,-1,1,False,
M00229,33.166849,-105.800312,0,0,-1,0,False,
M00230,33.080002,-105.712097,1,1,-1,1,False,
M00231,33.080447,-105.712023,1,1,-1,1,False,
M00232,33.163078,-105.825801,1,1,-1,1,False,
M00233,33.160526,-105.790511,1,1,-1,1,False,
M00234,33.160879,-105.790844,2,2,-1,2,False,
M00235,33.160994,-105.790952,1,1,-1,1,False,
M00236,33.161347,-105.791285,1,1,-1,1,False,
M00237,33.154483,-105.771871,0,0,-1,0,False,
M00238,33.154918,-105.772008,2,2,-1,2,False,
M00239,33.164074,-105.822068,1,1,-1,1,False,
M00240,33.161932,-105.803206,1,1,-1,1,False,
M00241,33.162390,-105.805493,2,2,-1,2,False,
M00242,33.162285,-105.804970,3,5,1,5,True,"The cyan line indicating the power line route passes directly through a dense cluster of tall trees in the center and right of the tile. The canopy is clearly directly over the corridor with significant overhang, posing a high contact risk."
M00243,33.162179,-105.804448,2,2,-1,2,False,
M00244,33.158762,-105.770922,1,1,-1,1,False,
M00245,33.154961,-105.772022,5,4,0,4,True,"The marked line route passes directly through a band of tall tree canopy in the center of the tile. The trees press right into the corridor with little visible clearance, indicating significant encroachment that could contact conductors."
M00246,33.155384,-105.772204,0,0,-1,0,False,
M00247,33.155807,-105.772387,0,0,-1,0,False,
M00248,33.155798,-105.785015,2,2,-1,2,False,
M00249,33.155821,-105.785552,2,2,-1,2,False,
M00250,33.152905,-105.767413,0,0,-1,0,False,
M00251,33.153021,-105.767932,0,0,-1,0,False,
M00252,33.153138,-105.768451,0,0,-1,0,False,
M00253,33.153446,-105.769846,0,0,-1,0,False,
M00254,33.157386,-105.770754,1,1,-1,1,False,
M00255,33.157433,-105.770220,0,0,-1,0,False,
M00256,33.158511,-105.769901,1,1,-1,1,False,
M00257,33.131973,-105.737450,1,1,-1,1,False,
M00258,33.131523,-105.737446,1,1,-1,1,False,
M00259,33.152279,-105.762722,1,1,-1,1,False,
M00260,33.152197,-105.762194,1,1,-1,1,False,
M00261,33.152116,-105.761666,1,1,-1,1,False,
M00262,33.060022,-105.708318,1,1,-1,1,False,
M00263,33.059648,-105.708020,2,2,-1,2,False,
M00264,33.155627,-105.783000,1,1,-1,1,False,
M00265,33.155673,-105.783535,1,1,-1,1,False,
M00266,33.157241,-105.772590,0,0,-1,0,False,
M00267,33.157273,-105.772054,2,2,-1,2,False,
M00268,33.164891,-105.826601,1,1,-1,1,False,
M00269,33.164834,-105.826068,1,1,-1,1,False,
M00270,33.123313,-105.731768,1,1,-1,1,False,
M00271,33.122964,-105.731429,2,2,-1,2,False,
M00272,33.156939,-105.792378,1,1,-1,1,False,
M00273,33.157183,-105.792829,1,1,-1,1,False,
M00274,33.157427,-105.793280,1,1,-1,1,False,
M00275,33.164740,-105.818460,1,1,-1,1,False,
M00276,33.164308,-105.818310,0,0,-1,0,False,
M00277,33.163877,-105.818159,4,5,-1,5,False,"The marked line passes directly through dense tall tree canopy with no visible cleared right-of-way. Trees overhang the entire route with no maintained corridor, indicating heavy vegetation directly over the conductors."
M00278,33.164566,-105.819502,1,1,-1,1,False,
M00279,33.164654,-105.818976,1,1,-1,1,False,
M00280,33.155356,-105.779686,1,1,-1,1,False,
M00281,33.155401,-105.780220,0,0,-1,0,False,
M00282,33.155423,-105.780482,1,1,-1,1,False,
M00283,33.154834,-105.780029,1,1,-1,1,False,
M00284,33.163254,-105.824189,1,1,-1,1,False,
M00285,33.163050,-105.824668,2,2,-1,2,False,
M00286,33.159689,-105.797536,1,1,-1,1,False,
M00287,33.159945,-105.797977,1,1,-1,1,False,
M00288,33.160123,-105.798285,2,2,-1,2,False,
M00289,33.160371,-105.798733,1,1,-1,1,False,
M00290,33.160619,-105.799181,1,1,-1,1,False,
M00291,33.164911,-105.816029,1,1,-1,1,False,
M00292,33.164886,-105.815493,0,0,-1,0,False,
M00293,33.157438,-105.770171,0,0,-1,0,False,
M00294,33.157815,-105.769880,0,0,-1,0,False,
M00295,33.155580,-105.782421,1,1,-1,1,False,
M00296,33.156012,-105.782571,0,0,-1,0,False,
M00297,33.152489,-105.763655,0,0,-1,0,False,
M00298,33.152372,-105.763136,1,1,-1,1,False,
M00299,33.153562,-105.770402,1,1,-1,1,False,
M00300,33.164860,-105.813568,1,1,-1,1,False,
M00301,33.164640,-105.813100,1,1,-1,1,False,
M00302,33.155187,-105.779797,1,1,-1,1,False,
M00303,33.152553,-105.765687,1,1,-1,1,False,
M00304,33.155680,-105.783621,1,1,-1,1,False,
M00305,33.112732,-105.723951,1,1,-1,1,False,
M00306,33.112342,-105.723683,1,1,-1,1,False,
M00307,33.111953,-105.723414,1,1,-1,1,False,
M00308,33.153561,-105.773638,1,1,-1,1,False,
M00309,33.155829,-105.785736,3,4,5,5,True,"Overhead conductors run across the upper portion of the image. The large tree on the left clearly rises ABOVE the conductor lines and its crown is directly under/touching the line corridor, presenting an overtopping risk. It is within the line span, essentially at the corridor."
M00310,33.155880,-105.786269,4,5,-1,5,False,"The marked line route (cyan) runs directly across continuous dense tall tree canopy with no visible cleared corridor. Trees clearly cover and overhang the entire line path, indicating heavy vegetation that could contact conductors."
M00311,33.155932,-105.786803,4,5,-1,5,False,"The cyan line marks the corridor route crossing dense, continuous tall tree canopy on the right/east side. There is no cleared right-of-way through the forest; trees directly overhang the line path with no visible clearance, indicating high contact risk."
M00312,33.164939,-105.816629,1,1,-1,1,False,
M00313,33.164914,-105.816093,1,1,-1,1,False,
M00314,33.154265,-105.773555,1,1,-1,1,False,
M00315,33.153818,-105.773608,1,1,-1,1,False,
M00316,33.158796,-105.770531,1,1,-1,1,False,
M00317,33.060502,-105.709924,2,2,-1,2,False,
M00318,33.128034,-105.736395,4,1,-1,1,False,"The line corridor runs across open, low scrubby/grassy terrain with a dirt track on the left side. There are only a few scattered trees in the corners; the area directly along the route is largely clear of tall canopy, so encroachment risk is low."
M00319,33.127685,-105.736058,2,2,-1,2,False,
M00320,33.164003,-105.822347,1,1,-1,1,False,
M00321,33.163809,-105.822831,1,1,-1,1,False,
M00322,33.163615,-105.823316,1,1,-1,1,False,
M00323,33.164102,-105.811961,2,2,-1,2,False,
M00324,33.163882,-105.811493,2,2,-1,2,False,
M00325,33.064207,-105.710920,1,1,-1,1,False,
M00326,33.063764,-105.711014,1,1,-1,1,False,
M00327,33.153904,-105.771937,1,1,-1,1,False,
M00328,33.154020,-105.772456,1,1,-1,1,False,
M00329,33.154136,-105.772975,1,1,-1,1,False,
M00330,33.154252,-105.773494,1,1,-1,1,False,
M00331,33.063517,-105.711066,1,1,-1,1,False,
M00332,33.063080,-105.711195,0,0,-1,0,False,
M00333,33.160725,-105.799373,0,0,-1,0,False,
M00334,33.160970,-105.799823,1,1,-1,1,False,
M00335,33.153562,-105.770402,1,1,-1,1,False,
M00336,33.153252,-105.773667,1,1,-1,1,False,
M00337,33.153300,-105.774201,0,0,-1,0,False,
M00338,33.154416,-105.774198,1,1,-1,1,False,
M00339,33.154530,-105.774718,0,0,-1,0,False,
M00340,33.154643,-105.775238,1,1,-1,1,False,
M00341,33.155162,-105.777410,1,1,-1,1,False,
M00342,33.155205,-105.777945,2,2,-1,2,False,
M00343,33.128398,-105.736748,1,1,-1,1,False,
M00344,33.128049,-105.736409,2,2,-1,2,False,
M00345,33.155315,-105.779240,1,1,-1,1,False,
M00346,33.139002,-105.741322,1,1,-1,1,False,
M00347,33.138690,-105.740935,1,1,-1,1,False,
M00348,33.158105,-105.769853,0,0,-1,0,False,
M00349,33.155856,-105.772408,1,1,-1,1,False,
M00350,33.156304,-105.772464,1,1,-1,1,False,
M00351,33.156460,-105.772484,1,1,-1,1,False,
M00352,33.156907,-105.772533,0,0,-1,0,False,
M00353,33.124203,-105.732673,1,1,-1,1,False,
M00354,33.157300,-105.771655,1,1,-1,1,False,
M00355,33.157351,-105.771122,1,1,-1,1,False,
M00356,33.157874,-105.769835,0,0,-1,0,False,
M00357,33.057523,-105.705814,1,1,-1,1,False,
M00358,33.155795,-105.784968,2,2,-1,2,False,
M00359,33.164610,-105.821216,1,1,-1,1,False,
M00360,33.164463,-105.820708,0,0,-1,0,False,
M00361,33.153573,-105.770456,1,1,-1,1,False,
M00362,33.153689,-105.770975,0,0,-1,0,False,
M00363,33.153805,-105.771494,1,1,-1,1,False,
M00364,33.060367,-105.709450,2,2,-1,2,False,
M00365,33.060214,-105.708946,1,1,-1,1,False,
M00366,33.060060,-105.708442,1,1,-1,1,False,
M00367,33.164391,-105.820459,4,2,-1,2,False,"The corridor (cyan lines) runs alongside a highway through an area of scrubby low vegetation and scattered small trees/bushes. There are some shrubs and small trees near the route, but no tall dense canopy directly overhanging the corridor. Vegetation is mostly low scrub with a few clusters, so the line appears reasonably clear with only minor encroachment."
M00368,33.164302,-105.820985,1,1,-1,1,False,
M00369,33.165212,-105.827395,0,0,-1,0,False,
M00370,33.154265,-105.773555,1,1,-1,1,False,
M00371,33.154387,-105.774072,1,1,-1,1,False,
M00372,33.164740,-105.818460,1,1,-1,1,False,
M00373,33.164835,-105.817935,1,1,-1,1,False,
M00374,33.155580,-105.782421,1,1,-1,1,False,
M00375,33.155624,-105.782956,1,1,-1,1,False,
M00376,33.061375,-105.711190,2,2,-1,2,False,
M00377,33.158800,-105.770477,1,1,-1,1,False,
M00378,33.165212,-105.827395,0,0,-1,0,False,
M00379,33.157997,-105.794332,2,2,-1,2,False,
M00380,33.158242,-105.794782,1,1,-1,1,False,
M00381,33.154193,-105.771804,1,1,-1,1,False,
M00382,33.153315,-105.773662,1,1,-1,1,False,
M00383,33.124784,-105.733205,1,1,-1,1,False,
M00384,33.124427,-105.732878,2,2,-1,2,False,
M00385,33.095498,-105.714585,1,1,-1,1,False,
M00386,33.095073,-105.714409,1,1,-1,1,False,
M00387,33.094648,-105.714233,1,1,-1,1,False,
M00388,33.157281,-105.771907,2,2,-1,2,False,
M00389,33.164391,-105.820459,4,2,-1,2,False,"The corridor (marked by cyan lines) runs alongside a highway through low scrubby vegetation. There are scattered shrubs and small trees near the line path, but the vegetation appears mostly low-growing rather than tall canopy overhanging the conductors. Some bushes are close to the route but clearance overall looks reasonable."
M00390,33.164487,-105.819934,4,3,0,3,True,"The cyan line marks the feeder route running parallel to a highway. The terrain is scrubby vegetation with scattered trees and bushes pressing toward the corridor. There are moderate-sized trees near the line edge, particularly to the upper-right, but no dense tall canopy directly overhanging the route. This represents moderate encroachment from surrounding brush and scattered trees."
M00391,33.158483,-105.795225,1,1,-1,1,False,
M00392,33.158716,-105.795684,1,1,-1,1,False,
M00393,33.158949,-105.796144,2,2,-1,2,False,
M00394,33.159183,-105.796603,2,2,-1,2,False,
M00395,33.156946,-105.772537,0,0,-1,0,False,
M00396,33.155356,-105.779686,1,1,-1,1,False,
M00397,33.156545,-105.791639,2,2,-1,2,False,
M00398,33.156787,-105.792092,1,1,-1,1,False,
M00399,33.093860,-105.713929,2,2,-1,2,False,
M00400,33.093430,-105.713773,1,1,-1,1,False,
M00401,33.153185,-105.768663,0,0,-1,0,False,
M00402,33.153300,-105.769183,0,0,-1,0,False,
M00403,33.153414,-105.769702,1,1,-1,1,False,
M00404,33.161473,-105.801054,1,1,-1,1,False,
M00405,33.161590,-105.801572,1,1,-1,1,False,
M00406,33.153446,-105.769846,1,1,-1,1,False,
M00407,33.102516,-105.717230,1,1,-1,1,False,
M00408,33.102085,-105.717077,1,1,-1,1,False,
M00409,33.101654,-105.716924,1,1,-1,1,False,
M00410,33.101333,-105.716810,1,1,-1,1,False,
M00411,33.100902,-105.716659,1,1,-1,1,False,
M00412,33.100470,-105.716508,1,1,-1,1,False,
M00413,33.154181,-105.769832,0,0,-1,0,False,
M00414,33.153458,-105.769846,1,1,-1,1,False,
M00415,33.153907,-105.769838,1,1,-1,1,False,
M00416,33.061916,-105.711557,1,1,-1,1,False,
M00417,33.061821,-105.711489,1,1,-1,1,False,
M00418,33.061429,-105.711226,4,5,0,5,True,"The cyan line route passes directly through dense, tall tree canopy at and below the marker. There is no cleared corridor along the line path; large trees clearly overhang the route, presenting high contact risk."
M00419,33.082756,-105.713121,1,1,-1,1,False,
M00420,33.082464,-105.713332,1,1,-1,1,False,
M00421,33.082085,-105.713621,1,1,-1,1,False,
M00422,33.081706,-105.713910,1,1,-1,1,False,
M00423,33.106689,-105.720686,1,1,-1,1,False,
M00424,33.106364,-105.720315,1,1,-1,1,False,
