id,line_idx,lat,lng,green,score,reason
C000195,608,32.944309,-105.965403,0.008,0,desert cull (greenness below threshold)
C000196,610,32.945486,-105.964092,0.007,0,desert cull (greenness below threshold)
C000197,612,32.946644,-105.962792,0.007,0,desert cull (greenness below threshold)
C000198,615,32.948298,-105.960948,0.007,0,desert cull (greenness below threshold)
C000199,617,32.949403,-105.959707,0.007,0,desert cull (greenness below threshold)
C000200,619,32.950422,-105.958567,0.007,0,desert cull (greenness below threshold)
C000201,622,32.952139,-105.956649,0.006,0,desert cull (greenness below threshold)
C000202,624,32.953140,-105.955531,0.006,0,desert cull (greenness below threshold)
C000203,626,32.954200,-105.954348,0.007,0,desert cull (greenness below threshold)
C000204,629,32.955814,-105.952538,0.008,0,desert cull (greenness below threshold)
C000205,631,32.957871,-105.950270,0.010,0,desert cull (greenness below threshold)
C000206,633,32.960016,-105.947793,0.010,0,desert cull (greenness below threshold)
C000207,634,32.960796,-105.946898,0.010,0,desert cull (greenness below threshold)
C000208,635,32.962824,-105.945236,0.010,0,desert cull (greenness below threshold)
C000209,636,32.964876,-105.943546,0.010,0,desert cull (greenness below threshold)
C000210,638,32.966457,-105.942266,0.010,0,desert cull (greenness below threshold)
C000211,640,32.969580,-105.939734,0.010,0,desert cull (greenness below threshold)
C000212,642,32.970971,-105.938604,0.010,0,desert cull (greenness below threshold)
C000213,644,32.973001,-105.936943,0.010,0,desert cull (greenness below threshold)
C000214,646,32.975695,-105.934756,0.010,0,desert cull (greenness below threshold)
C000215,648,32.977764,-105.933062,0.011,0,desert cull (greenness below threshold)
C000216,650,32.980207,-105.931077,0.010,0,desert cull (greenness below threshold)
C000217,652,32.983299,-105.928531,0.009,0,desert cull (greenness below threshold)
C000218,653,32.983425,-105.926743,0.011,0,desert cull (greenness below threshold)
C000219,656,32.983859,-105.921079,0.009,0,desert cull (greenness below threshold)
C000220,658,32.983860,-105.917085,0.009,0,desert cull (greenness below threshold)
C000221,660,32.982815,-105.913314,0.011,0,desert cull (greenness below threshold)
C000222,661,32.981684,-105.910762,0.011,0,desert cull (greenness below threshold)
C000223,664,32.981531,-105.905916,0.010,0,desert cull (greenness below threshold)
C000224,667,32.982687,-105.902271,0.009,0,desert cull (greenness below threshold)
C000225,669,32.983378,-105.900112,0.010,0,desert cull (greenness below threshold)
C000226,670,32.983776,-105.898960,0.008,0,desert cull (greenness below threshold)
C000227,672,32.984789,-105.895724,0.007,0,desert cull (greenness below threshold)
C000228,674,32.985555,-105.893276,0.006,0,desert cull (greenness below threshold)
C000229,677,32.987139,-105.888400,0.008,0,desert cull (greenness below threshold)
C000230,679,32.987658,-105.886669,0.011,0,desert cull (greenness below threshold)
C000231,682,32.989022,-105.882349,0.011,0,desert cull (greenness below threshold)
C000232,684,32.989850,-105.879850,0.012,0,desert cull (greenness below threshold)
C000233,687,32.990873,-105.876542,0.009,0,desert cull (greenness below threshold)
C000234,691,32.990860,-105.872543,0.008,0,desert cull (greenness below threshold)
C000235,692,32.990669,-105.871371,0.008,0,desert cull (greenness below threshold)
C000236,694,32.989966,-105.867118,0.009,0,desert cull (greenness below threshold)
C000237,697,32.989007,-105.861510,0.011,0,desert cull (greenness below threshold)
C000238,701,32.988088,-105.855296,0.010,0,desert cull (greenness below threshold)
C000239,704,32.987409,-105.849893,0.015,0,desert cull (greenness below threshold)
C000240,706,32.986951,-105.846486,0.026,0,desert cull (greenness below threshold)
C000241,708,32.986386,-105.844712,0.021,0,desert cull (greenness below threshold)
C000242,711,32.986051,-105.839232,0.025,0,desert cull (greenness below threshold)
C000243,714,32.986140,-105.834920,0.027,0,desert cull (greenness below threshold)
C000244,716,32.986238,-105.830680,0.051,2,"The cyan line is clearly visible and mostly passes through open desert/scrub terrain with sparse, low vegetation. However, there are scattered trees and some denser tree patches visible in the lower left portion and along what appears to be a riparian corridor. The line passes near but not directly through significant tree cover. The vegetation is generally low shrub desert with only occasional isolated trees near the route, warranting a score of 2 rather than 1 due to the proximity to some tree patches, though the line predominantly traverses open terrain."
C000245,719,32.987651,-105.827634,0.053,2,"The cyan line is clearly visible traversing the terrain. The landscape shows sparse, low desert scrub and shrubland vegetation throughout. While there are scattered darker patches that may represent sparse woody vegetation or low shrubs near and along portions of the line, there are no substantial tree cover areas, forest, or woodland that the line passes through. The vegetation appears uniformly low and scattered across the desert terrain. A few isolated darker patches near the line could represent sparse shrubs or very small trees, but these are not clearly substantial tree cover. This falls between scores 1-2; given the recall instruction to pick higher when unsure, a score of 2 is appropriate for the sparse low shrubs and isolated vegetation elements visible near the line."
C000246,721,32.991410,-105.830494,0.017,0,desert cull (greenness below threshold)
C000247,723,32.995119,-105.833312,0.064,4,"The cyan line is clearly visible running diagonally across the image through woodland terrain. The entire path of the drawn line passes through or directly beside substantial tree cover - the darker green vegetation patches are distributed throughout the corridor. While not uniformly dense forest, there is considerable woodland coverage along the route with scattered darker patches indicating trees, meeting the criteria for score 4 (passes through or directly beside substantial tree cover in places)."
C000248,725,32.996376,-105.834270,0.083,3,"The cyan line is clearly visible and passes through terrain with scattered woodland patches and tree cover. The landscape shows a mix of darker (tree-covered) areas and lighter (open/sparse) areas. The line traverses through several sections with noticeable tree clusters and patches of woodland vegetation, particularly visible as darker green areas throughout the image. While not dense forest for the entire route, there are multiple locations where the line passes through or very close to scattered trees and woodland patches, justifying a score of 3."
C000249,727,32.998482,-105.835863,0.072,3,"The cyan line is clearly visible across the image, passing through terrain with scattered tree cover (dark green patches) distributed throughout. The vegetation appears to be woodland/forest patches typical of pinyon-juniper forest in southern New Mexico. While the trees are not uniformly dense along the entire route, there are multiple patches of tree cover adjacent to and crossed by the line, with scattered trees visible throughout the corridor. This constitutes scattered woodland patches close to the line, consistent with a score of 3."
C000250,731,33.004003,-105.840068,0.026,0,desert cull (greenness below threshold)
C000251,734,33.006740,-105.842135,0.012,0,desert cull (greenness below threshold)
C000252,738,33.010497,-105.844999,0.010,0,desert cull (greenness below threshold)
C000253,741,33.014232,-105.847841,0.012,0,desert cull (greenness below threshold)
C000254,743,33.017223,-105.850098,0.016,0,desert cull (greenness below threshold)
C000255,744,33.018467,-105.851045,0.021,0,desert cull (greenness below threshold)
C000256,746,33.020559,-105.849156,0.023,0,desert cull (greenness below threshold)
C000257,747,33.021688,-105.848137,0.049,2,"The cyan line is clearly visible running through the landscape. The terrain is predominantly sparse, scattered desert shrubland with dispersed low vegetation typical of southern New Mexico. While there are some darker patches that may represent slightly denser vegetation or tree cover in places (particularly visible in the upper left and middle portions), the line mostly passes through open terrain with scattered low shrubs. A few isolated darker areas suggest possible isolated trees or dense shrub patches, but these are not substantial tree cover and the line does not run through continuous forest or woodland. The overall landscape is open desert/scrub with sparse vegetation, fitting a score of 2."
C000258,748,33.022860,-105.847077,0.060,2,"The cyan line is clearly visible running diagonally across the image. The terrain is predominantly sparse desert scrub and low shrubby vegetation typical of southern New Mexico. While there are scattered patches of darker vegetation (likely small juniper or pinyon trees) distributed across the landscape and some riparian vegetation visible along what appears to be a creek corridor in the upper left, the line itself primarily runs through open desert scrub. The scattered trees and woodland patches are not directly along the line's path but rather interspersed throughout the terrain. This warrants a score of 2 for sparse low shrubs near the line with a few isolated trees not clearly near it."
C000259,751,33.025110,-105.845016,0.059,3,"The cyan line is clearly visible and passes through an area with scattered woodland/tree patches. The route runs through and alongside riparian vegetation in what appears to be a creek or wash corridor (visible as the lighter-colored meandering feature), with tree cover in patches adjacent to and near the line. The surrounding terrain shows typical sparse desert scrub, but the line specifically traverses areas with notable concentrations of trees, particularly in the central valley area. This warrants a score of 3 for scattered trees/woodland patches close to the line."
C000260,755,33.027957,-105.842444,0.023,0,desert cull (greenness below threshold)
C000261,756,33.029196,-105.841343,0.034,0,desert cull (greenness below threshold)
C000262,758,33.031438,-105.839311,0.020,0,desert cull (greenness below threshold)
C000263,759,33.032635,-105.838225,0.028,0,desert cull (greenness below threshold)
C000264,760,33.033885,-105.837105,0.031,0,desert cull (greenness below threshold)
C000265,763,33.036296,-105.836334,0.044,4,"The cyan line passes through and directly beside substantial tree cover, particularly in the central portion where it runs through a cleared or lighter corridor surrounded by dense darker forest/woodland on both sides. The line clearly traverses areas with significant tree coverage, with darker forested patches visible along much of the route. This represents substantial tree cover interaction warranting a score of 4."
C000266,765,33.038949,-105.835480,0.038,0,desert cull (greenness below threshold)
C000267,771,32.982453,-105.827303,0.058,3,"The cyan line is clearly visible running diagonally (and with a horizontal branch) across the tile. The terrain shows scattered low woodland/shrub vegetation throughout, with darker patches indicating tree cover in various locations. The line passes through areas with visible scattered trees and woodland patches, particularly noticeable in the darker green areas. However, the vegetation is not dense forest—it appears to be semi-arid woodland/scrubland typical of southern New Mexico. The scattered nature of the tree cover and its proximity to the line supports a score of 3."
C000268,775,32.979424,-105.826661,0.062,4,"The cyan line is clearly visible running north-south through the tile. The line passes through and directly beside substantial tree cover in multiple places, particularly in the upper and middle portions of the image where darker green forested areas are adjacent to and crossed by the route. The surrounding terrain shows mixed woodland and open areas with scattered vegetation typical of piñon-juniper forest in southern New Mexico. The line's proximity to multiple patches of denser tree cover throughout its path justifies a score of 4."
C000269,777,32.977743,-105.826299,0.071,2,"The cyan line is clearly visible running north-south through the image. The surrounding terrain consists primarily of sparse, scattered low shrubs and desert vegetation typical of southern New Mexico. While there are some darker patches that may represent slightly denser vegetation or small tree clusters in the upper right and scattered throughout, the vegetation along the line itself and in the immediate vicinity is predominantly low scrub and sparse desert plants. The line does not pass through any substantial or concentrated tree cover, and most trees, if present, are isolated and not clearly adjacent to the corridor. This fits the score 2 profile of sparse low shrubs near the line with a few isolated trees not clearly near it."
C000270,781,32.975264,-105.825761,0.026,0,desert cull (greenness below threshold)
C000271,783,32.973803,-105.825445,0.021,0,desert cull (greenness below threshold)
C000272,786,32.971121,-105.825132,0.036,0,desert cull (greenness below threshold)
C000273,788,32.969690,-105.825215,0.051,3,"The cyan line is clearly visible running north-south through the tile. The surrounding terrain shows scattered tree cover (dark green patches) distributed across the landscape, which appears to be semi-arid woodland/scrubland typical of southern New Mexico. The line passes through or very near scattered patches of woodland rather than dense forest, and portions run through more open areas. This represents scattered trees/woodland patches close to the line, fitting the score 3 definition."
C000274,791,32.967015,-105.825375,0.050,3,"The cyan line is clearly visible running north-south through the image. The terrain shows scattered low shrub and tree cover (appearing as darker vegetation patches) throughout the area. The line passes through or very close to multiple vegetation patches, particularly visible in the upper and middle sections where there are darker vegetated areas adjacent to or crossed by the route. The vegetation appears to be scattered woodland/shrub patches typical of semi-arid New Mexico terrain, not dense forest, but substantial enough to warrant a score of 3 for scattered trees/woodland patches close to the line."
C000275,792,32.965784,-105.825442,0.037,0,desert cull (greenness below threshold)
C000276,794,32.963939,-105.825556,0.062,4,"The cyan line runs through continuous scrubland/woodland vegetation across the entire visible path. The terrain shows scattered to moderate tree cover with darker patches indicating denser vegetation on both sides of the line. The line passes directly through areas with visible tree cover and woodland patches throughout its course, meeting criteria for substantial tree cover in places along the route."
C000277,796,32.962217,-105.825652,0.078,4,"The bright cyan line is clearly visible running north-south through the tile. The line passes through and directly beside substantial tree cover (dark green woodland/forest patches) throughout much of its path. The terrain shows a mix of darker forested areas and lighter scrub/desert areas, with the line routing through significant tree coverage in multiple sections, particularly evident on both sides of the line's corridor."
C000278,799,32.960163,-105.825767,0.082,4,"The cyan line is clearly visible running north-south through the image, passing through substantial tree cover (woodland/forest visible as darker vegetation patches) for much of its length. The vegetation appears to be conifer forest typical of southern New Mexico, and the line traverses directly through this forested terrain rather than around it. This qualifies as passing through or directly beside substantial tree cover in places."
C000279,801,32.958815,-105.825845,0.073,4,"The cyan line runs through substantial woodland/forest cover for most of its visible path. The surrounding terrain shows dense tree coverage (dark green areas indicating piñon-juniper woodland typical of southern New Mexico), and the line passes directly through this tree-covered landscape. While there is some clearing visible at the southern portion near agricultural areas, the majority of the line's route is through or immediately adjacent to significant tree cover, justifying a score of 4."
C000280,804,32.956267,-105.825998,0.078,4,"The cyan line is clearly visible running through the image in a north-south orientation. The line passes directly through or immediately adjacent to substantial tree cover, particularly in the northern portion where it traverses an area with dense woodland/forest vegetation (darker green patches visible throughout). The lower portion shows the line passing through more open cultivated/cleared areas with scattered trees, but the overall path includes significant interaction with tree cover that qualifies as 'passes through or directly beside substantial tree cover in places.'"
C000281,811,32.955283,-105.826237,0.076,3,"The cyan line is clearly visible running through the image. The route passes through or very near scattered woodland patches and tree clusters, particularly visible in the darker forested areas surrounding the central agricultural/cleared lands. There are isolated trees and riparian vegetation patches (along the curved waterways) near the line's path. The terrain shows a mix of open cultivated ground and woodland, with the line traversing areas that have scattered to moderate tree cover rather than dense forest. This scores as scattered trees/woodland patches close to the line."
C000282,815,32.954483,-105.829853,0.062,3,"The cyan line is clearly visible throughout the image. The route passes through or very close to scattered woodland and tree patches, particularly along the upper-left portion where denser coniferous forest is visible, and in the middle sections where trees cluster near the line. However, significant portions of the route also traverse more open terrain with sparse vegetation, cultivated fields, and agricultural areas. This is consistent with score 3: scattered trees/woodland patches close to the line."
C000283,818,32.952690,-105.832420,0.064,4,"The cyan line is clearly visible and passes through or directly beside substantial tree cover in multiple places. The area shows scattered to moderate woodland/forest coverage with darker green vegetation patches throughout. The line runs through sections with visible tree density, particularly in the upper-left and central portions of the route, indicating passage through or adjacent to significant tree cover rather than purely open desert terrain."
