id,lat,lng,fast,overhead,sv,combined,has_sv,reason
R00053,37.107822,-122.108788,2,-1,2,2,True,"Overhead distribution conductors are visible on the wooden pole on the left side of the image. Nearby vegetation (trees and shrubs) is predominantly BELOW conductor height. The tree crowns on both sides of the road are at or near the conductor level but are positioned outside the immediate corridor envelope, approximately 15-20+ feet away horizontally. While there is dense tree coverage in the area, the nearest vegetation does not appear to encroach within the 12 ft recommended clearance zone or violate the 4 ft minimum HFTD standard at this view."
R00054,37.107877,-122.107430,4,-1,5,5,True,"Overhead distribution conductors span across the image from left to right. Tall redwood and conifer trees crowd the corridor on both sides, with foliage at conductor height directly beside and appearing to overhang the lines, especially on the left and center. Vegetation is AT conductor height and within touching distance, indicating a violation-level clearance issue."
R00055,37.107902,-122.144275,4,-1,4,4,True,"Overhead distribution conductors are visible crossing the upper portion of the image. Tall trees (foggy conifers) stand directly beside and at/above conductor height along the roadside, well within the 12 ft recommended envelope and posing fall-in risk. Nearest tree crowns appear AT or ABOVE conductor height, only a few feet from the line."
R00056,37.107924,-122.105667,3,-1,5,5,True,"A wood distribution pole with equipment is visible center-frame, with conductors running through a dense stand of tall redwoods. Tree crowns and foliage are at and well above conductor height, with vegetation directly touching/overhanging the lines. Numerous trees taller than the line pose severe fall-in risk. Violation-level clearance."
R00057,37.107968,-122.113562,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The road curves through a dense forest with tall trees on both sides, but no utility poles, crossarms, or uninsulated conductors are present in the viewable corridor."
R00058,37.108094,-122.109786,2,-1,2,2,True,"Overhead distribution conductors are visible along the upper left portion of the image. The nearest tall vegetation (conifer trees) is positioned below and slightly away from conductor height, approximately 15-20 ft distant from the line. Trees are in the vicinity of the corridor but their crowns are below the conductor level, and they are outside the immediate 4-12 ft clearance envelope. No vegetation is touching or overhanging the line."
R00059,37.108236,-122.144925,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. Heavy fog and mist obscure most details, and while tall trees line both sides of the road, no power lines or poles can be clearly identified. The image shows only a fog-shrouded mountain road with vegetation on the hillside."
R00060,37.108240,-122.106098,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a residential driveway lined with tall redwood trees, understory vegetation, and ornamental fencing, but no power lines, wood poles, or distribution infrastructure are present in the viewable area."
R00061,37.108299,-122.107014,3,-1,5,5,True,"A single overhead conductor crosses the upper portion of the image, running diagonally into the dense tree canopy on the right. Tall trees and crowns are AT and ABOVE conductor height directly adjacent to and overhanging the line, well within the 4 ft violation threshold."
R00062,37.108308,-122.108096,3,-1,5,5,True,"Distribution conductors are visible spanning the scene from the pole at right across the road. Large trees and dense tree crowns (redwoods/conifers) are at and above conductor height directly beside and overhanging the lines, with foliage appearing to contact/overhang the conductors on the right side and center."
R00063,37.108382,-122.114163,5,-1,5,5,True,"Overhead distribution conductors are visible crossing the scene, strung along the road corridor and running toward the right into tall redwoods. The conductors pass directly beside and through the crowns of very tall redwood trees that far exceed conductor height, with foliage at/above the line and within touching distance on the right side. Nearest vegetation is ABOVE conductor height and immediately adjacent, indicating violation-level encroachment and severe fall-in risk."
R00064,37.108581,-122.109862,4,-1,5,5,True,"Distribution conductors are visible on the wood pole with crossarms at left. Tall redwoods and dense trees on both sides tower well ABOVE conductor height; foliage on the left appears to be touching or within a few feet of the lines running down the corridor, indicating violation-level intrusion."
R00065,37.108818,-122.114578,4,-1,5,5,True,"A wood distribution pole is visible on the left with conductors spanning across the road. Dense trees and foliage on the left are at/above conductor height and directly touching or overhanging the lines, within violation-level clearance."
R00066,37.108853,-122.106945,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a wooded area with tall redwood trees, a small house, and dense understory vegetation, but no electric utility poles, crossarms, or uninsulated conductors are present."
R00067,37.109013,-122.107648,4,-1,5,5,True,"Overhead distribution conductors are clearly visible spanning horizontally across the upper portion of the image. A tall central tree crown reaches up to and appears to touch/overhang the conductors, and tall redwoods flank the corridor at/above line height. Nearest vegetation is AT or ABOVE conductor height and within ~0-4 ft, indicating a violation-level clearance issue plus significant fall-in risk."
R00068,37.109038,-122.109936,3,-1,4,4,True,"Overhead conductors are visible as diagonal lines crossing the upper-left sky. Tall redwoods and dense evergreen vegetation on the left are at or above conductor height and directly beside the line span, within the recommended clearance envelope."
R00069,37.109438,-122.114799,3,-1,5,5,True,"An overhead distribution conductor is visible running from the upper right across the road corridor. Tall redwoods and dense vegetation on the right are at or above conductor height and appear to overhang/contact the line, indicating violation-level clearance."
R00070,37.109486,-122.110014,3,-1,5,5,True,"Overhead distribution conductors are visible crossing the upper-left of the frame and running along the left side of the road on wood poles. Tall trees and dense vegetation are AT and ABOVE conductor height directly adjacent to and overhanging the lines, appearing to touch or be well within ~4 ft, a violation-level condition."
R00071,37.109883,-122.114649,3,-1,5,5,True,"Overhead distribution conductors are visible crossing and running along the right side of the road, with a pole near center-right. Dense tree foliage on the right is at conductor height and vegetation appears to be touching/overhanging the lines (within ~4 ft), indicating a violation-level condition. Tall redwoods also exceed line height within falling distance."
R00072,37.109931,-122.110072,4,-1,5,5,True,"A distribution pole with crossarm is visible center-left, with conductors running left across the frame. Tall redwoods and dense tree crowns are at/above conductor height directly adjacent to and overhanging the line span, well within the 4 ft clearance envelope."
R00073,37.110038,-122.102388,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The image shows a utility pole with a light fixture in a forested area with scattered dead and live trees, but no electrical conductors are discernible."
R00074,37.110318,-122.114505,4,-1,5,5,True,"Overhead distribution conductors are visible spanning from a pole on the left side of the road. Dense tall trees and vegetation on the left are at and above conductor height, with foliage directly touching/overhanging the lines near the pole, indicating violation-level clearance."
R00075,37.110747,-122.114354,4,-1,5,5,True,"Overhead distribution conductors are visible crossing the road diagonally on the right side. Tall redwoods and dense tree crowns are directly adjacent and above the conductor height, with foliage touching/overhanging the lines within a few feet, indicating a violation-level clearance issue."
R00076,37.111219,-122.114332,4,-1,5,5,True,"Distribution conductors are visible on the wood pole at left with crossarm and transformer, running along the road. Dense tall trees and foliage are immediately adjacent and overhanging the conductors, with tree crowns well above conductor height and vegetation touching/within a few feet of the lines."
R00077,37.111720,-122.114401,4,-1,5,5,True,"Overhead distribution conductors are visible spanning the road on wood poles. Tall redwoods and dense tree crowns are directly adjacent and above conductor height, with foliage appearing to touch/overhang the lines on both sides of the corridor."
R00078,37.112134,-122.114642,3,-1,5,5,True,"Overhead distribution conductors are visible running along the road from the wood pole with crossarm on the left. Tall redwoods and dense tree crowns flank the corridor well ABOVE conductor height, with foliage directly overhanging and touching the lines. Nearest vegetation is at/above line height and within touching distance, indicating a violation-level condition."
R00079,37.112588,-122.114434,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. What is visible are service lines and/or utility equipment near the residence, but no primary distribution lines with uninsulated conductors on crossarms are present in the frame."
R00080,37.112631,-122.115106,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The road is lined with tall redwood and conifer trees in a heavily forested mountain setting, but no utility poles, crossarms, or uninsulated conductors are evident in the view."
R00081,37.112816,-122.113498,3,-1,4,4,True,"Overhead distribution conductors are visible running across the scene from a pole at center-left. Tall redwoods and dense conifers surround the corridor, with tree crowns at and above conductor height directly beside and behind the line, well within the 12 ft envelope and posing fall-in risk."
R00082,37.112876,-122.112432,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a residential driveway with a white house, surrounding tall trees, and forest vegetation, but no poles, crossarms, or uninsulated conductors characteristic of distribution lines are present."
R00083,37.112878,-122.115581,4,-1,5,5,True,"Overhead distribution conductors are visible running along the road on wood poles with crossarms (right side). Tall redwoods and dense tree crowns are directly beside and overhanging the conductors, with vegetation at/above conductor height within a few feet, indicating violation-level encroachment."
R00084,37.112952,-122.116158,3,-1,4,4,True,"Faint overhead conductors and a pole are visible in the mid-distance along the road corridor near the center of the image. The corridor is flanked by tall redwoods and mixed conifers whose crowns are well above conductor height and directly beside/over the line. Nearest dense vegetation appears AT/ABOVE conductor height within the recommended envelope, though the exact clearance is hard to judge due to distance and lighting."
R00085,37.113070,-122.116714,0,-1,0,0,True,"No overhead electric distribution lines are visible in this image. The image shows a narrow mountain road with dense vegetation on the left side (ivy-covered hillside) and tall conifer trees in the background, but no visible wood poles, crossarms, or uninsulated conductors characteristic of distribution infrastructure."
R00086,37.113096,-122.117281,0,-1,0,0,True,"No overhead distribution lines are visible in this image. The image shows a mountain road with dense forest on both sides, construction equipment and trucks, but no utility poles or conductors are apparent in the view."
R00087,37.113180,-122.117827,3,-1,5,5,True,"Overhead distribution conductors are visible running along the left side of the road on a wood pole. Tall redwoods and conifers grow immediately adjacent to and above the conductors, with foliage overhanging and within a few feet of the lines, indicating violation-level encroachment."
R00088,37.113421,-122.112317,3,-1,5,5,True,"Overhead distribution conductors are visible crossing the scene, supported by a pole mid-image. Dense tall trees (redwoods and deciduous) surround the corridor with crowns at and above conductor height, and vegetation on the left appears to be touching or overhanging the lines within a few feet."
R00089,37.113591,-122.118407,2,-1,2,2,True,"Distribution conductors are visible on a wood pole on the left side of the road. The nearest vegetation consists of tall trees with crowns well above conductor height and dense understory/mid-story vegetation below conductor height. The trees are within falling distance of the line but their crowns are significantly above the conductor level. Low to mid-story vegetation is 15-20+ feet away from the pole horizontally, outside the immediate clearance envelope. The main concern is the presence of tall trees whose crowns exceed the line height, but they are not immediately overhanging and vegetation below conductor height maintains reasonable distance."
R00090,37.113632,-122.112833,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The road is lined with dense vegetation and tall trees on both sides, but no electric utility poles, crossarms, or conductors can be identified. Only service infrastructure (if any) or natural tree canopy are present along this forested road corridor."
R00091,37.114005,-122.118439,4,-1,5,5,True,"A wood distribution pole with crossarm and multiple conductors is visible center-right. Tall trees and dense vegetation surround the corridor, with tree crowns clearly above conductor height directly beside the line and foliage appearing to touch/overhang the conductors on both sides. Nearest vegetation is ABOVE conductor height and within a few feet, indicating violation-level encroachment."
R00092,37.114007,-122.099254,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a driveway lined with tall redwood and conifer trees, a metal rail fence, and understory vegetation, but no utility poles, crossarms, or uninsulated conductors are present in the frame."
R00093,37.114022,-122.099810,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a rural driveway with trees lining both sides, fencing, and forest in the background, but no power lines or distribution infrastructure are present."
R00094,37.114051,-122.113394,2,-1,2,2,True,"Overhead distribution conductors and wood poles are visible on the left side of the road. Vegetation near the corridor includes trees and shrubs, mostly below or at conductor height. No vegetation is touching or significantly overhanging the lines. Trees are present in the general area but are outside the immediate 4-12 ft clearance envelope, and the nearest vegetation appears to be at least 8-15 ft away from the conductors."
R00095,37.114054,-122.100376,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a rural unpaved road with dense vegetation including large trees on both sides, but no power lines, poles, or distribution infrastructure are evident."
R00096,37.114275,-122.103255,4,-1,5,5,True,"Overhead distribution conductors are visible crossing the frame diagonally against the sky. Large tree crowns on both left and right are AT or ABOVE conductor height and appear to be directly overhanging/touching the line, with foliage within a few feet, indicating a violation-level condition."
R00097,37.114456,-122.118523,3,-1,4,4,True,"Overhead conductors are faintly visible spanning across the upper left of the image between poles. The corridor is heavily forested with tall redwoods and dense tree crowns directly beside and above the line, well within the 12 ft envelope and at/above conductor height."
R00098,37.114503,-122.113917,3,-1,5,5,True,"Distribution conductors are visible on the wood pole at left with transformer and crossarm, running along the road. Trees and dense vegetation on the left extend up to and above conductor height, with foliage appearing to touch/overhang the lines. Nearest vegetation is AT/ABOVE conductor height and within a few feet."
R00099,37.114504,-122.100529,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The view shows a rural road lined with trees on both sides, but no wooden poles, crossarms, or uninsulated conductors are present. While there is vegetation (trees) along the roadside, without visible distribution infrastructure, this scores 0."
R00100,37.114593,-122.116011,4,-1,4,4,True,"Overhead distribution conductors are visible spanning across the image with a pole visible mid-frame. Tall redwoods and conifers on both sides reach at/above conductor height, with dense tree crowns directly beside the line within the recommended 12 ft envelope and posing fall-in risk."
R00101,37.114600,-122.102501,3,-1,4,4,True,"Distribution conductors are visible on the wood pole with crossarm, running left to right. Large oak tree crowns on the right and trees along the corridor are AT or ABOVE conductor height and appear within the recommended 12 ft envelope, with foliage close to the wires."
R00102,37.114709,-122.119208,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a residential driveway with a wooden fence, tall redwood/conifer trees in the background, and low vegetation along the roadside, but no power lines or distribution infrastructure are present."
R00103,37.114775,-122.103057,2,-1,2,2,True,"Overhead distribution conductors are visible running across the top of the image. The nearest vegetation (deciduous and coniferous trees) is positioned below conductor height and outside the ~4 ft radial clearance envelope, at an estimated distance of 20+ feet from the line. Trees are distributed along the corridor but do not pose immediate clearance violations or fall-in risk to the conductors."
R00104,37.114809,-122.101927,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a rural road lined with trees and low vegetation, but there are no visible wood poles, crossarms, or uninsulated conductors characteristic of electric distribution lines. Without conductors present, there is nothing to assess for vegetation clearance violations."
R00105,37.114916,-122.118559,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The image shows a residential driveway lined with tall redwood and fir trees in a forested setting, but no electrical distribution lines are present in the view."
R00106,37.114937,-122.100909,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The view shows a rural dirt/gravel road lined with trees and vegetation in the Santa Cruz Mountains, but no utility poles, crossarms, or electrical distribution lines are present in the frame."
R00107,37.115008,-122.114255,4,-1,4,4,True,"Overhead distribution conductors are visible spanning across the scene from the pole on the right. Tall trees, including a large conifer in the center and dense forest on both sides, reach at or above conductor height directly beside the line, with crowns within the recommended clearance envelope."
R00108,37.115093,-122.101446,0,-1,0,0,True,"No overhead distribution conductors are visible in this image. The scene shows a rural mountain road lined with dense vegetation including oak trees and other shrubs, but no wood poles, crossarms, or electrical lines are present."
R00109,37.115124,-122.119826,4,-1,4,4,True,"A distribution line is visible on the right side spanning across the road near the pole, at roughly conductor height. Tall trees and dense forest canopy on both sides reach at or above conductor height directly adjacent to the corridor, placing vegetation within the recommended clearance envelope and posing fall-in risk. Nearest vegetation is AT/ABOVE conductor height within a few feet."
R00110,37.115229,-122.115999,4,-1,4,4,True,"Overhead conductors are visible crossing the upper portion of the image. Dense shrubs/tree crowns on the left rise to approximately conductor height directly beside the line, and tall conifers on the right exceed conductor height within falling distance. Nearest vegetation is AT or near conductor height within a few feet, placing it within the recommended clearance envelope."
